location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020605,"Smithville","Missouri","United States",21157,US,City
1020606,"Southwest City","Missouri","United States",21157,US,City
1020607,"Sparta","Missouri","United States",21157,US,City
1020608,"Spickard","Missouri","United States",21157,US,City
1020609,"Spokane","Missouri","United States",21157,US,City
1020610,"Springfield","Missouri","United States",21157,US,City
1020611,"Saint Albans","Missouri","United States",21157,US,City
1020612,"Saint Ann","Missouri","United States",21157,US,City
1020613,"Saint Charles","Missouri","United States",21157,US,City
1020614,"Saint Clair","Missouri","United States",21157,US,City
1020615,"Saint Elizabeth","Missouri","United States",21157,US,City
1020616,"Saint James","Missouri","United States",21157,US,City
1020617,"Saint Joseph","Missouri","United States",21157,US,City
1020618,"St. Louis","Missouri","United States",21157,US,City
1020619,"St. Peters","Missouri","United States",21157,US,City
1020620,"Saint Robert","Missouri","United States",21157,US,City
1020621,"Stanberry","Missouri","United States",21157,US,City
1020622,"Stanton","Missouri","United States",21157,US,City
1020623,"Steele","Missouri","United States",21157,US,City
1020624,"Steelville","Missouri","United States",21157,US,City
1020625,"Stet","Missouri","United States",21157,US,City
1020626,"Stewartsville","Missouri","United States",21157,US,City
1020627,"Stockton","Missouri","United States",21157,US,City
1020628,"Stoutland","Missouri","United States",21157,US,City
1020629,"Stover","Missouri","United States",21157,US,City
1020630,"Strafford","Missouri","United States",21157,US,City
1020631,"Strasburg","Missouri","United States",21157,US,City
1020632,"Sturgeon","Missouri","United States",21157,US,City
1020633,"Success","Missouri","United States",21157,US,City
1020634,"Sullivan","Missouri","United States",21157,US,City
1020635,"Summersville","Missouri","United States",21157,US,City
1020636,"Sunrise Beach","Missouri","United States",21157,US,City
1020637,"Swedeborg","Missouri","United States",21157,US,City
1020638,"Sweet Springs","Missouri","United States",21157,US,City
1020639,"Taneyville","Missouri","United States",21157,US,City
1020640,"Tarkio","Missouri","United States",21157,US,City
1020641,"Thayer","Missouri","United States",21157,US,City
1020642,"Theodosia","Missouri","United States",21157,US,City
1020643,"Thornfield","Missouri","United States",21157,US,City
1020644,"Tiff City","Missouri","United States",21157,US,City
1020645,"Tina","Missouri","United States",21157,US,City
1020646,"Tipton","Missouri","United States",21157,US,City
1020647,"Trenton","Missouri","United States",21157,US,City
1020648,"Trimble","Missouri","United States",21157,US,City
1020649,"Troy","Missouri","United States",21157,US,City
1020650,"Tuscumbia","Missouri","United States",21157,US,City
1020651,"Union","Missouri","United States",21157,US,City
1020652,"Union Star","Missouri","United States",21157,US,City
1020653,"Unionville","Missouri","United States",21157,US,City
1020654,"Urbana","Missouri","United States",21157,US,City
1020655,"Valley Park","Missouri","United States",21157,US,City
1020656,"Van Buren","Missouri","United States",21157,US,City
1020657,"Vandalia","Missouri","United States",21157,US,City
1020658,"Vanzant","Missouri","United States",21157,US,City
1020659,"Verona","Missouri","United States",21157,US,City
1020660,"Versailles","Missouri","United States",21157,US,City
1020661,"Viburnum","Missouri","United States",21157,US,City
1020662,"Vienna","Missouri","United States",21157,US,City
1020663,"Walker","Missouri","United States",21157,US,City
1020664,"Walnut Grove","Missouri","United States",21157,US,City
1020665,"Wardell","Missouri","United States",21157,US,City
1020666,"Warrensburg","Missouri","United States",21157,US,City
1020667,"Warrenton","Missouri","United States",21157,US,City
1020668,"Warsaw","Missouri","United States",21157,US,City
1020669,"Washburn","Missouri","United States",21157,US,City
1020670,"Washington","Missouri","United States",21157,US,City
1020671,"Waynesville","Missouri","United States",21157,US,City
1020672,"Weaubleau","Missouri","United States",21157,US,City
1020673,"Webb City","Missouri","United States",21157,US,City
1020674,"Wellington","Missouri","United States",21157,US,City
1020675,"Wellsville","Missouri","United States",21157,US,City
1020676,"Wentzville","Missouri","United States",21157,US,City
1020677,"West Plains","Missouri","United States",21157,US,City
1020678,"Weston","Missouri","United States",21157,US,City
1020679,"Westphalia","Missouri","United States",21157,US,City
1020680,"Wheatland","Missouri","United States",21157,US,City
1020681,"Wheaton","Missouri","United States",21157,US,City
1020682,"Whiteman Air Force Base","Missouri","United States",21157,US,City
1020683,"Willard","Missouri","United States",21157,US,City
1020684,"Willow Springs","Missouri","United States",21157,US,City
1020685,"Windsor","Missouri","United States",21157,US,City
1020686,"Winfield","Missouri","United States",21157,US,City
1020687,"Winona","Missouri","United States",21157,US,City
1020688,"Winston","Missouri","United States",21157,US,City
1020689,"Wright City","Missouri","United States",21157,US,City
1020690,"Wyaconda","Missouri","United States",21157,US,City
1020691,"Zalma","Missouri","United States",21157,US,City
1026630,"Missouri City","Texas","United States",21176,US,City
9022803,"63005","Missouri","United States",21157,US,Postal Code
9022804,"63010","Missouri","United States",21157,US,Postal Code
